Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
520	4.0000	1.0908	1.0902
521	4.0000	1.0908	1.0902
522	4.0000	1.0908	1.0902
523	4.0000	1.0908	1.0902
524	4.0000	1.0908	1.0902
525	4.0000	1.0908	1.0902
526	3.0000	0.8181	0.8177
527	4.0000	1.0908	1.0902
528	3.0000	0.8181	0.8177
529	4.0000	1.0908	1.0902
530	4.0000	1.0908	1.0902
531	4.0000	1.0908	1.0902
532	4.0000	1.0908	1.0902
533	4.0000	1.0908	1.0902
534	4.0000	1.0908	1.0902
535	4.0000	1.0908	1.0902
536	3.0000	0.8181	0.8177
537	4.0000	1.0908	1.0902
538	3.0000	0.8181	0.8177
539	1.0000	0.2727	0.2726
540	4.0000	1.0908	1.0902
541	4.0000	1.0908	1.0902
542	3.0000	0.8181	0.8177
543	3.0000	0.8181	0.8177
544	4.0000	1.0908	1.0902
545	4.0000	1.0908	1.0902
546	3.0000	0.8181	0.8177
547	4.0000	1.0908	1.0902
548	3.0000	0.8181	0.8177
549	3.0000	0.8181	0.8177
550	4.0000	1.0908	1.0902
551	4.0000	1.0908	1.0902
552	4.0000	1.0908	1.0902
553	4.0000	1.0908	1.0902
554	4.0000	1.0908	1.0902
555	4.0000	1.0908	1.0902
556	4.0000	1.0908	1.0902
557	4.0000	1.0908	1.0902
558	4.0000	1.0908	1.0902
559	4.0000	1.0908	1.0902
560	4.0000	1.0908	1.0902
561	4.0000	1.0908	1.0902
562	3.0000	0.8181	0.8177
563	4.0000	1.0908	1.0902
564	4.0000	1.0908	1.0902
565	4.0000	1.0908	1.0902
566	3.0000	0.8181	0.8177
567	4.0000	1.0908	1.0902
568	2.0000	0.5454	0.5451
569	4.0000	1.0908	1.0902
570	4.0000	1.0908	1.0902
571	3.0000	0.8181	0.8177
572	3.0000	0.8181	0.8177
573	4.0000	1.0908	1.0902
574	4.0000	1.0908	1.0902
575	3.0000	0.8181	0.8177
576	3.0000	0.8181	0.8177
577	4.0000	1.0908	1.0902
578	4.0000	1.0908	1.0902
579	4.0000	1.0908	1.0902
580	4.0000	1.0908	1.0902
581	4.0000	1.0908	1.0902
582	4.0000	1.0908	1.0902
583	2.0000	0.5454	0.5451
584	4.0000	1.0908	1.0902
585	4.0000	1.0908	1.0902
586	4.0000	1.0908	1.0902
587	3.0000	0.8181	0.8177
588	4.0000	1.0908	1.0902
589	3.0000	0.8181	0.8177
590	4.0000	1.0908	1.0902
591	4.0000	1.0908	1.0902
592	4.0000	1.0908	1.0902
593	3.0000	0.8181	0.8177
594	4.0000	1.0908	1.0902
595	3.0000	0.8181	0.8177
596	4.0000	1.0908	1.0902
597	4.0000	1.0908	1.0902
598	4.0000	1.0908	1.0902
599	4.0000	1.0908	1.0902
600	4.0000	1.0908	1.0902
601	4.0000	1.0908	1.0902
602	4.0000	1.0908	1.0902
603	4.0000	1.0908	1.0902
604	4.0000	1.0908	1.0902
605	4.0000	1.0908	1.0902
606	4.0000	1.0908	1.0902
607	4.0000	1.0908	1.0902
608	4.0000	1.0908	1.0902
609	4.0000	1.0908	1.0902
610	3.0000	0.8181	0.8177
611	3.0000	0.8181	0.8177
612	4.0000	1.0908	1.0902
613	3.0000	0.8181	0.8177
614	4.0000	1.0908	1.0902
615	4.0000	1.0908	1.0902
616	4.0000	1.0908	1.0902
617	4.0000	1.0908	1.0902
618	4.0000	1.0908	1.0902
619	4.0000	1.0908	1.0902
620	4.0000	1.0908	1.0902
621	4.0000	1.0908	1.0902
622	4.0000	1.0908	1.0902
623	4.0000	1.0908	1.0902
624	4.0000	1.0908	1.0902
625	4.0000	1.0908	1.0902
626	3.0000	0.8181	0.8177
627	4.0000	1.0908	1.0902
628	4.0000	1.0908	1.0902
629	3.0000	0.8181	0.8177
630	4.0000	1.0908	1.0902
631	4.0000	1.0908	1.0902
632	4.0000	1.0908	1.0902
633	4.0000	1.0908	1.0902
634	4.0000	1.0908	1.0902
635	1.0000	0.2727	0.2726
636	4.0000	1.0908	1.0902
637	4.0000	1.0908	1.0902
638	4.0000	1.0908	1.0902
639	4.0000	1.0908	1.0902
640	4.0000	1.0908	1.0902
641	4.0000	1.0908	1.0902
642	3.0000	0.8181	0.8177
643	4.0000	1.0908	1.0902
644	4.0000	1.0908	1.0902
645	4.0000	1.0908	1.0902
646	3.0000	0.8181	0.8177
647	3.0000	0.8181	0.8177
648	3.0000	0.8181	0.8177
649	4.0000	1.0908	1.0902
650	3.0000	0.8181	0.8177
651	4.0000	1.0908	1.0902
652	4.0000	1.0908	1.0902
653	4.0000	1.0908	1.0902
654	4.0000	1.0908	1.0902
655	3.0000	0.8181	0.8177
656	4.0000	1.0908	1.0902
657	4.0000	1.0908	1.0902
658	4.0000	1.0908	1.0902
659	4.0000	1.0908	1.0902
660	3.0000	0.8181	0.8177
661	3.0000	0.8181	0.8177
662	4.0000	1.0908	1.0902
663	4.0000	1.0908	1.0902
664	3.0000	0.8181	0.8177
665	4.0000	1.0908	1.0902
666	3.0000	0.8181	0.8177
667	4.0000	1.0908	1.0902
668	3.0000	0.8181	0.8177
669	4.0000	1.0908	1.0902
670	4.0000	1.0908	1.0902
671	4.0000	1.0908	1.0902
672	3.0000	0.8181	0.8177
673	4.0000	1.0908	1.0902
674	3.0000	0.8181	0.8177
675	4.0000	1.0908	1.0902
676	4.0000	1.0908	1.0902
677	3.0000	0.8181	0.8177
678	4.0000	1.0908	1.0902
679	4.0000	1.0908	1.0902
680	2.0000	0.5454	0.5451
681	4.0000	1.0908	1.0902
682	4.0000	1.0908	1.0902
683	4.0000	1.0908	1.0902
684	4.0000	1.0908	1.0902
685	4.0000	1.0908	1.0902
686	4.0000	1.0908	1.0902
687	4.0000	1.0908	1.0902
688	3.0000	0.8181	0.8177
689	4.0000	1.0908	1.0902
690	4.0000	1.0908	1.0902
691	3.0000	0.8181	0.8177
692	3.0000	0.8181	0.8177
693	4.0000	1.0908	1.0902
694	3.0000	0.8181	0.8177
695	4.0000	1.0908	1.0902
696	4.0000	1.0908	1.0902
697	3.0000	0.8181	0.8177
698	4.0000	1.0908	1.0902
699	4.0000	1.0908	1.0902
700	4.0000	1.0908	1.0902
701	3.0000	0.8181	0.8177
702	4.0000	1.0908	1.0902
703	3.0000	0.8181	0.8177
704	4.0000	1.0908	1.0902
705	4.0000	1.0908	1.0902
706	3.0000	0.8181	0.8177
707	4.0000	1.0908	1.0902
708	4.0000	1.0908	1.0902
709	4.0000	1.0908	1.0902
710	4.0000	1.0908	1.0902
711	4.0000	1.0908	1.0902
712	4.0000	1.0908	1.0902
713	4.0000	1.0908	1.0902
714	4.0000	1.0908	1.0902
715	3.0000	0.8181	0.8177
716	4.0000	1.0908	1.0902
717	4.0000	1.0908	1.0902
718	4.0000	1.0908	1.0902
719	4.0000	1.0908	1.0902
720	4.0000	1.0908	1.0902
721	4.0000	1.0908	1.0902
722	4.0000	1.0908	1.0902
723	4.0000	1.0908	1.0902
724	3.0000	0.8181	0.8177
725	4.0000	1.0908	1.0902
726	4.0000	1.0908	1.0902
727	4.0000	1.0908	1.0902
728	4.0000	1.0908	1.0902
729	4.0000	1.0908	1.0902
730	4.0000	1.0908	1.0902
731	4.0000	1.0908	1.0902
732	4.0000	1.0908	1.0902
733	3.0000	0.8181	0.8177
734	4.0000	1.0908	1.0902
735	4.0000	1.0908	1.0902
736	4.0000	1.0908	1.0902
737	4.0000	1.0908	1.0902
738	4.0000	1.0908	1.0902
739	4.0000	1.0908	1.0902
740	4.0000	1.0908	1.0902
741	4.0000	1.0908	1.0902
742	4.0000	1.0908	1.0902
743	4.0000	1.0908	1.0902
744	4.0000	1.0908	1.0902
745	4.0000	1.0908	1.0902
746	3.0000	0.8181	0.8177
747	3.0000	0.8181	0.8177
748	3.0000	0.8181	0.8177
749	4.0000	1.0908	1.0902
750	4.0000	1.0908	1.0902
751	4.0000	1.0908	1.0902
752	3.0000	0.8181	0.8177
753	3.0000	0.8181	0.8177
754	3.0000	0.8181	0.8177
755	4.0000	1.0908	1.0902
756	3.0000	0.8181	0.8177
757	4.0000	1.0908	1.0902
758	3.0000	0.8181	0.8177
759	4.0000	1.0908	1.0902
760	4.0000	1.0908	1.0902
761	4.0000	1.0908	1.0902
762	3.0000	0.8181	0.8177
763	4.0000	1.0908	1.0902
764	4.0000	1.0908	1.0902
765	3.0000	0.8181	0.8177
766	4.0000	1.0908	1.0902
767	4.0000	1.0908	1.0902
768	4.0000	1.0908	1.0902
769	4.0000	1.0908	1.0902
770	2.0000	0.5454	0.5451
771	3.0000	0.8181	0.8177
772	4.0000	1.0908	1.0902
773	3.0000	0.8181	0.8177
774	4.0000	1.0908	1.0902
775	4.0000	1.0908	1.0902
776	4.0000	1.0908	1.0902
777	4.0000	1.0908	1.0902
778	4.0000	1.0908	1.0902
779	3.0000	0.8181	0.8177
780	4.0000	1.0908	1.0902
781	4.0000	1.0908	1.0902
782	4.0000	1.0908	1.0902
783	4.0000	1.0908	1.0902
784	4.0000	1.0908	1.0902
785	4.0000	1.0908	1.0902
786	4.0000	1.0908	1.0902
787	4.0000	1.0908	1.0902
788	4.0000	1.0908	1.0902
789	4.0000	1.0908	1.0902
790	3.0000	0.8181	0.8177
791	4.0000	1.0908	1.0902
792	4.0000	1.0908	1.0902
793	3.0000	0.8181	0.8177
794	3.0000	0.8181	0.8177
795	3.0000	0.8181	0.8177
796	4.0000	1.0908	1.0902
797	4.0000	1.0908	1.0902
798	3.0000	0.8181	0.8177
799	3.0000	0.8181	0.8177
800	3.0000	0.8181	0.8177
801	4.0000	1.0908	1.0902
802	3.0000	0.8181	0.8177
803	3.0000	0.8181	0.8177
804	4.0000	1.0908	1.0902
805	4.0000	1.0908	1.0902
806	4.0000	1.0908	1.0902
807	3.0000	0.8181	0.8177
808	3.0000	0.8181	0.8177
809	4.0000	1.0908	1.0902
810	4.0000	1.0908	1.0902
811	4.0000	1.0908	1.0902
812	4.0000	1.0908	1.0902
