OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hominid_mean	Nasonia2_mean	Mosquito_mean	Peromyscus_mean	Drosophila2_mean
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513	86.950507562	5.84864980828e-18	2.72569151443e-17	1.44461650265e-15	1.95748016698e-05	0.0	0.0	0.0	1.04219427752e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	86.3413072291	7.87693353279e-18	3.60296774556e-17	1.9456025826e-15	0.000448963843463	0.000208696167745	2.36092467463e-05	0.0	0.000887018309232
k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales]	85.0193305994	1.50270134547e-17	6.74849513329e-17	3.71167232331e-15	0.00399671423271	0.0	0.0	0.000575436139793	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	81.361312704	8.96499342501e-17	3.9542024571e-16	2.21435337598e-14	0.00660974967873	0.00318648966227	0.000652217326373	0.0	0.00173807994889
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	77.1838602191	6.87613479311e-16	2.97965841035e-15	1.6984052939e-13	0.000876575053093	0.0	0.0	0.000557780030961	5.49137178278e-05
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales	76.0750459631	1.18030953829e-15	5.02649061994e-15	2.91536455957e-13	0.000137050620933	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	73.3955179589	4.35192408036e-15	1.82190719975e-14	1.07492524785e-12	0.00117287267391	0.000964369547425	0.0917160285498	0.0	0.000674795611307
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	73.2051894492	4.77433514199e-15	1.96543463345e-14	1.17926078007e-12	0.000252078284796	0.00068452449673	0.000685611904065	0.0	0.000530883559456
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales	71.5733227936	1.05618696789e-14	4.27669149293e-14	2.60878181069e-12	0.000187525570829	0.00035762070647	4.6169330637e-06	0.0	0.00110247691627
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	69.5194683103	2.86703863601e-14	1.14219119854e-13	7.08158543094e-12	0.00208444191954	4.04501366683e-05	1.16152025425e-05	0.000219560824532	7.03142484838e-05
